Intensity_economia,Polarization_economia,Subjectivity_economia,Intensity_gimnasio,Polarization_gimnasio,gimnasio,sanitas,adeslas,decathlon,IBEX35_close,crecimiento,date
0.466,0.27,0.011000000000000001,0.523,0.38,0.41700000000000004,0.667,0.25,0.087,0.7090000000000001,0.5,2014-04-14
0.42200000000000004,0.256,0.061,0.488,0.358,0.41700000000000004,0.667,0.25,0.087,0.6940000000000001,0.5,2014-04-15
0.366,0.21600000000000003,0.07,0.504,0.363,0.41700000000000004,0.667,0.25,0.087,0.722,0.5,2014-04-16
0.43700000000000006,0.27699999999999997,0.051,0.524,0.379,0.41700000000000004,0.667,0.25,0.087,0.727,0.5,2014-04-17
0.42700000000000005,0.26,0.055,0.5489999999999999,0.371,0.41700000000000004,0.667,0.25,0.087,0.752,0.5,2014-04-18
0.49,0.33899999999999997,0.138,0.474,0.353,0.41700000000000004,0.667,0.25,0.087,0.752,0.5,2014-04-19
0.401,0.289,0.043,0.377,0.34700000000000003,0.41700000000000004,0.667,0.25,0.087,0.752,0.5,2014-04-20
0.391,0.278,0.045,0.516,0.376,0.41700000000000004,0.667,0.25,0.087,0.752,0.5,2014-04-21
0.43200000000000005,0.278,0.045,0.51,0.382,0.41700000000000004,0.667,0.25,0.087,0.752,0.5,2014-04-22
0.423,0.275,0.07200000000000001,0.503,0.381,0.41700000000000004,0.667,0.25,0.087,0.75,0.5,2014-04-23
0.40700000000000003,0.261,0.05,0.522,0.37200000000000005,0.41700000000000004,0.667,0.25,0.087,0.7559999999999999,0.5,2014-04-24
0.452,0.27899999999999997,0.026000000000000002,0.507,0.375,0.41700000000000004,0.667,0.25,0.087,0.7290000000000001,0.5,2014-04-25
0.41700000000000004,0.253,0.045,0.555,0.397,0.41700000000000004,0.667,0.25,0.087,0.732,0.5,2014-04-26
0.419,0.266,0.07200000000000001,0.501,0.376,0.41700000000000004,0.667,0.25,0.087,0.732,0.5,2014-04-27
0.42100000000000004,0.27399999999999997,0.066,0.506,0.363,0.41700000000000004,0.667,0.25,0.087,0.732,0.5,2014-04-28
0.41700000000000004,0.26899999999999996,0.07400000000000001,0.5479999999999999,0.37799999999999995,0.41700000000000004,0.667,0.25,0.087,0.7559999999999999,0.5,2014-04-29
0.408,0.267,0.05,0.526,0.392,0.41700000000000004,0.667,0.25,0.087,0.7559999999999999,0.5,2014-04-30
0.396,0.261,0.004,0.493,0.337,0.41700000000000004,0.667,0.25,0.087,0.758,0.5,2014-05-01
0.419,0.249,0.065,0.521,0.369,0.5,0.667,0.25,0.11599999999999999,0.758,0.5,2014-05-02
0.38799999999999996,0.313,0.11,0.536,0.413,0.5,0.667,0.25,0.11599999999999999,0.759,0.5,2014-05-03
0.418,0.22899999999999998,0.06,0.5429999999999999,0.384,0.5,0.667,0.25,0.11599999999999999,0.759,0.5,2014-05-04
0.425,0.263,0.027999999999999997,0.504,0.38,0.5,0.667,0.25,0.11599999999999999,0.759,0.5,2014-05-05
0.408,0.259,0.027999999999999997,0.526,0.37799999999999995,0.5,0.667,0.25,0.11599999999999999,0.76,0.5,2014-05-06
0.41200000000000003,0.266,0.061,0.49,0.371,0.5,0.667,0.25,0.11599999999999999,0.748,0.5,2014-05-07
0.442,0.27699999999999997,0.076,0.514,0.35700000000000004,0.5,0.667,0.25,0.11599999999999999,0.779,0.5,2014-05-08
0.405,0.235,0.066,0.499,0.4,0.5,0.667,0.25,0.11599999999999999,0.7609999999999999,0.5,2014-05-09
0.365,0.247,0.027000000000000003,0.539,0.408,0.5,0.667,0.25,0.11599999999999999,0.774,0.5,2014-05-10
0.373,0.24100000000000002,0.087,0.495,0.376,0.5,0.667,0.25,0.11599999999999999,0.774,0.5,2014-05-11
0.419,0.28800000000000003,0.064,0.49200000000000005,0.387,0.5,0.667,0.25,0.11599999999999999,0.774,0.5,2014-05-12
0.433,0.261,0.059000000000000004,0.47100000000000003,0.36700000000000005,0.5,0.667,0.25,0.11599999999999999,0.778,0.5,2014-05-13
0.46,0.289,0.075,0.46799999999999997,0.34600000000000003,0.5,0.667,0.25,0.11599999999999999,0.7829999999999999,0.5,2014-05-14
0.402,0.258,0.051,0.44,0.342,0.5,0.667,0.25,0.11599999999999999,0.7390000000000001,0.5,2014-05-15
0.433,0.223,0.052000000000000005,0.491,0.376,0.5,0.667,0.25,0.11599999999999999,0.759,0.5,2014-05-16
0.46,0.24100000000000002,0.075,0.557,0.395,0.5,0.667,0.25,0.11599999999999999,0.75,0.5,2014-05-17
0.469,0.255,0.08800000000000001,0.47200000000000003,0.36200000000000004,0.5,0.667,0.25,0.11599999999999999,0.75,0.5,2014-05-18
0.41200000000000003,0.259,0.14,0.513,0.366,0.5,0.667,0.25,0.11599999999999999,0.75,0.5,2014-05-19
0.40700000000000003,0.27,0.071,0.486,0.38299999999999995,0.5,0.667,0.25,0.11599999999999999,0.755,0.5,2014-05-20
0.441,0.281,0.125,0.457,0.354,0.5,0.667,0.25,0.11599999999999999,0.768,0.5,2014-05-21
0.39899999999999997,0.272,0.037000000000000005,0.504,0.34700000000000003,0.5,0.667,0.25,0.11599999999999999,0.7659999999999999,0.5,2014-05-22
0.405,0.273,0.075,0.44799999999999995,0.364,0.5,0.667,0.25,0.11599999999999999,0.773,0.5,2014-05-23
0.449,0.264,0.087,0.541,0.39,0.5,0.667,0.25,0.11599999999999999,0.795,0.5,2014-05-24
0.419,0.278,0.04,0.469,0.385,0.5,0.667,0.25,0.11599999999999999,0.795,0.5,2014-05-25
0.428,0.294,0.08199999999999999,0.506,0.364,0.5,0.667,0.25,0.11599999999999999,0.795,0.5,2014-05-26
0.42700000000000005,0.27,0.069,0.498,0.37799999999999995,0.5,0.667,0.25,0.11599999999999999,0.8,0.5,2014-05-27
0.425,0.276,0.063,0.499,0.371,0.5,0.667,0.25,0.11599999999999999,0.807,0.5,2014-05-28
0.415,0.256,0.036000000000000004,0.524,0.38799999999999996,0.5,0.667,0.25,0.11599999999999999,0.804,0.5,2014-05-29
0.445,0.23,0.08900000000000001,0.465,0.377,0.5,0.667,0.25,0.11599999999999999,0.815,0.5,2014-05-30
0.402,0.243,0.066,0.526,0.385,0.5,0.667,0.25,0.11599999999999999,0.82,0.5,2014-05-31
0.41600000000000004,0.295,0.06,0.47600000000000003,0.355,0.5,0.667,0.25,0.11599999999999999,0.82,0.5,2014-06-01
0.408,0.259,0.096,0.513,0.361,0.5,0.667,0.5,0.188,0.82,0.5,2014-06-02
0.41,0.267,0.036000000000000004,0.501,0.369,0.5,0.667,0.5,0.188,0.8109999999999999,0.5,2014-06-03
0.381,0.254,0.069,0.539,0.38799999999999996,0.5,0.667,0.5,0.188,0.807,0.5,2014-06-04
0.405,0.253,0.054000000000000006,0.48700000000000004,0.377,0.5,0.667,0.5,0.188,0.828,0.5,2014-06-05
0.44,0.261,0.063,0.474,0.37,0.5,0.667,0.5,0.188,0.861,0.5,2014-06-06
0.39399999999999996,0.247,0.055999999999999994,0.499,0.375,0.5,0.667,0.5,0.188,0.878,0.5,2014-06-07
0.395,0.27699999999999997,0.063,0.496,0.4,0.5,0.667,0.5,0.188,0.878,0.5,2014-06-08
0.444,0.267,0.067,0.529,0.375,0.5,0.667,0.5,0.188,0.878,0.5,2014-06-09
0.446,0.273,0.069,0.484,0.349,0.5,0.667,0.5,0.188,0.8759999999999999,0.5,2014-06-10
0.423,0.27399999999999997,0.073,0.498,0.368,0.5,0.667,0.5,0.188,0.863,0.5,2014-06-11
0.45299999999999996,0.287,0.063,0.525,0.368,0.5,0.667,0.5,0.188,0.865,0.5,2014-06-12
0.381,0.248,0.053,0.507,0.37799999999999995,0.5,0.667,0.5,0.188,0.8690000000000001,0.5,2014-06-13
0.43,0.248,0.055,0.455,0.396,0.5,0.667,0.5,0.188,0.851,0.5,2014-06-14
0.43700000000000006,0.251,0.054000000000000006,0.499,0.396,0.5,0.667,0.5,0.188,0.851,0.5,2014-06-15
0.40299999999999997,0.259,0.04,0.499,0.371,0.5,0.667,0.5,0.188,0.851,0.5,2014-06-16
0.455,0.27899999999999997,0.079,0.493,0.382,0.5,0.667,0.5,0.188,0.86,0.5,2014-06-17
0.401,0.27699999999999997,0.068,0.515,0.373,0.5,0.667,0.5,0.188,0.8690000000000001,0.5,2014-06-18
0.39299999999999996,0.233,0.066,0.455,0.38,0.5,0.667,0.5,0.188,0.882,0.5,2014-06-19
0.462,0.242,0.042,0.529,0.391,0.5,0.667,0.5,0.188,0.8759999999999999,0.5,2014-06-20
0.46799999999999997,0.282,0.006,0.5,0.396,0.5,0.667,0.5,0.188,0.87,0.5,2014-06-21
0.436,0.282,0.057999999999999996,0.47,0.35600000000000004,0.5,0.667,0.5,0.188,0.87,0.5,2014-06-22
0.42100000000000004,0.26899999999999996,0.031,0.47,0.375,0.5,0.667,0.5,0.188,0.87,0.5,2014-06-23
0.433,0.254,0.069,0.46799999999999997,0.35600000000000004,0.5,0.667,0.5,0.188,0.868,0.5,2014-06-24
0.434,0.24600000000000002,0.015,0.494,0.36700000000000005,0.5,0.667,0.5,0.188,0.8440000000000001,0.5,2014-06-25
0.43799999999999994,0.28,0.027000000000000003,0.47700000000000004,0.36200000000000004,0.5,0.667,0.5,0.188,0.848,0.5,2014-06-26
0.46799999999999997,0.32899999999999996,0.111,0.528,0.375,0.5,0.667,0.5,0.188,0.843,0.5,2014-06-27
0.435,0.309,0.06,0.479,0.379,0.5,0.667,0.5,0.188,0.836,0.5,2014-06-28
0.387,0.255,0.055,0.486,0.361,0.5,0.667,0.5,0.188,0.836,0.5,2014-06-29
0.38799999999999996,0.255,0.055,0.5,0.371,0.5,0.667,0.5,0.188,0.836,0.5,2014-06-30
0.40299999999999997,0.287,0.049,0.53,0.379,0.5,0.667,0.5,0.188,0.851,0.5,2014-07-01
0.348,0.247,0.023,0.506,0.368,0.667,0.5,0.375,0.217,0.852,0.5,2014-07-02
0.41,0.261,0.004,0.475,0.376,0.667,0.5,0.375,0.217,0.865,0.5,2014-07-03
0.419,0.271,0.036000000000000004,0.474,0.38,0.667,0.5,0.375,0.217,0.851,0.5,2014-07-04
0.42700000000000005,0.295,0.079,0.48200000000000004,0.41,0.667,0.5,0.375,0.217,0.83,0.5,2014-07-05
0.409,0.27699999999999997,0.12,0.502,0.373,0.667,0.5,0.375,0.217,0.83,0.5,2014-07-06
0.43200000000000005,0.21600000000000003,0.11699999999999999,0.504,0.381,0.667,0.5,0.375,0.217,0.83,0.5,2014-07-07
0.42200000000000004,0.25,0.039,0.493,0.36700000000000005,0.667,0.5,0.375,0.217,0.7959999999999999,0.5,2014-07-08
0.365,0.265,0.048,0.499,0.361,0.667,0.5,0.375,0.217,0.8059999999999999,0.5,2014-07-09
0.35600000000000004,0.265,0.048,0.49,0.36200000000000004,0.667,0.5,0.375,0.217,0.769,0.5,2014-07-10
0.434,0.295,0.071,0.457,0.354,0.667,0.5,0.375,0.217,0.769,0.5,2014-07-11
0.39,0.287,0.095,0.49,0.36,0.667,0.5,0.375,0.217,0.7809999999999999,0.5,2014-07-12
0.46799999999999997,0.259,0.09300000000000001,0.47600000000000003,0.349,0.667,0.5,0.375,0.217,0.7809999999999999,0.5,2014-07-13
0.414,0.259,0.09300000000000001,0.514,0.374,0.667,0.5,0.375,0.217,0.7809999999999999,0.5,2014-07-14
0.47600000000000003,0.287,0.09300000000000001,0.528,0.368,0.667,0.5,0.375,0.217,0.759,0.5,2014-07-15
0.43700000000000006,0.26899999999999996,0.048,0.45399999999999996,0.358,0.667,0.5,0.375,0.217,0.792,0.5,2014-07-16
0.429,0.275,0.024,0.46399999999999997,0.353,0.667,0.5,0.375,0.217,0.77,0.5,2014-07-17
0.41,0.281,0.11800000000000001,0.498,0.396,0.667,0.5,0.375,0.217,0.767,0.5,2014-07-18
0.433,0.26,0.003,0.473,0.386,0.667,0.5,0.375,0.217,0.76,0.5,2014-07-19
0.35700000000000004,0.267,0.182,0.34600000000000003,0.335,0.667,0.5,0.375,0.217,0.76,0.5,2014-07-20
0.41200000000000003,0.311,0.07,0.494,0.366,0.667,0.5,0.375,0.217,0.76,0.5,2014-07-21
0.392,0.245,0.081,0.507,0.395,0.667,0.5,0.375,0.217,0.789,0.5,2014-07-22
0.446,0.263,0.006,0.44799999999999995,0.37,0.667,0.5,0.375,0.217,0.79,0.5,2014-07-23
0.331,0.264,0.022000000000000002,0.519,0.373,0.667,0.5,0.375,0.217,0.825,0.5,2014-07-24
